Data: 24999 trajectories (19999 train, 5000 test)
  Each: torch.Size([24999, 25, 2048])
Model: 21,027,840 (21.0M) params
Test: 5000 trajectories, zero MSE = 0.01697
Epoch  65 | train=0.00602 | test=0.00643 | cos=0.7877 | best=0.00643 | R²=0.6209 | 2856s | 0.023ep/s
Epoch  66 | train=0.00601 | test=0.00644 | cos=0.7876 | best=0.00643 | R²=0.6209 | 2902s | 0.023ep/s
Epoch  67 | train=0.00601 | test=0.00643 | cos=0.7877 | best=0.00643 | R²=0.6210 | 2948s | 0.023ep/s
Epoch  68 | train=0.00601 | test=0.00643 | cos=0.7878 | best=0.00643 | R²=0.6212 | 2994s | 0.023ep/s
Epoch  69 | train=0.00601 | test=0.00643 | cos=0.7877 | best=0.00643 | R²=0.6212 | 3040s | 0.023ep/s
Epoch  70 | train=0.00600 | test=0.00643 | cos=0.7877 | best=0.00643 | R²=0.6212 | 3085s | 0.023ep/s
Epoch  71 | train=0.00600 | test=0.00643 | cos=0.7877 | best=0.00643 | R²=0.6212 | 3131s | 0.023ep/s
Epoch  72 | train=0.00600 | test=0.00643 | cos=0.7878 | best=0.00643 | R²=0.6212 | 3177s | 0.023ep/s
Epoch  73 | train=0.00600 | test=0.00643 | cos=0.7877 | best=0.00643 | R²=0.6212 | 3223s | 0.023ep/s
Epoch  74 | train=0.00600 | test=0.00643 | cos=0.7877 | best=0.00643 | R²=0.6212 | 3267s | 0.023ep/s
Epoch  75 | train=0.00600 | test=0.00643 | cos=0.7878 | best=0.00643 | R²=0.6212 | 3310s | 0.023ep/s
Epoch  76 | train=0.00600 | test=0.00643 | cos=0.7878 | best=0.00643 | R²=0.6212 | 3352s | 0.023ep/s
Epoch  77 | train=0.00599 | test=0.00643 | cos=0.7878 | best=0.00643 | R²=0.6212 | 3400s | 0.023ep/s
Epoch  78 | train=0.00599 | test=0.00643 | cos=0.7878 | best=0.00643 | R²=0.6212 | 3448s | 0.023ep/s
Epoch  79 | train=0.00599 | test=0.00643 | cos=0.7879 | best=0.00643 | R²=0.6213 | 3541s | 0.023ep/s
Epoch  80 | train=0.00599 | test=0.00643 | cos=0.7878 | best=0.00643 | R²=0.6213 | 3616s | 0.022ep/s
Epoch  81 | train=0.00599 | test=0.00643 | cos=0.7879 | best=0.00643 | R²=0.6213 | 3673s | 0.022ep/s
Epoch  82 | train=0.00598 | test=0.00643 | cos=0.7879 | best=0.00643 | R²=0.6213 | 3722s | 0.022ep/s
Epoch  83 | train=0.00599 | test=0.00643 | cos=0.7879 | best=0.00643 | R²=0.6213 | 3796s | 0.022ep/s
Epoch  84 | train=0.00598 | test=0.00643 | cos=0.7878 | best=0.00643 | R²=0.6213 | 3845s | 0.022ep/s
Epoch  85 | train=0.00598 | test=0.00643 | cos=0.7878 | best=0.00643 | R²=0.6213 | 3913s | 0.022ep/s
Epoch  86 | train=0.00598 | test=0.00643 | cos=0.7878 | best=0.00643 | R²=0.6213 | 3972s | 0.022ep/s
Epoch  87 | train=0.00598 | test=0.00643 | cos=0.7878 | best=0.00643 | R²=0.6213 | 4029s | 0.022ep/s
Epoch  88 | train=0.00598 | test=0.00642 | cos=0.7879 | best=0.00642 | R²=0.6215 | 4091s | 0.022ep/s
Epoch  89 | train=0.00598 | test=0.00643 | cos=0.7878 | best=0.00642 | R²=0.6215 | 4167s | 0.022ep/s
Epoch  90 | train=0.00598 | test=0.00643 | cos=0.7879 | best=0.00642 | R²=0.6215 | 4242s | 0.021ep/s
Epoch  91 | train=0.00597 | test=0.00643 | cos=0.7878 | best=0.00642 | R²=0.6215 | 4336s | 0.021ep/s
Epoch  92 | train=0.00597 | test=0.00643 | cos=0.7879 | best=0.00642 | R²=0.6215 | 4424s | 0.021ep/s
Epoch  93 | train=0.00597 | test=0.00643 | cos=0.7879 | best=0.00642 | R²=0.6215 | 4500s | 0.021ep/s
Epoch  94 | train=0.00597 | test=0.00642 | cos=0.7880 | best=0.00642 | R²=0.6215 | 4598s | 0.021ep/s
Epoch  95 | train=0.00597 | test=0.00643 | cos=0.7879 | best=0.00642 | R²=0.6215 | 4695s | 0.020ep/s
Epoch  96 | train=0.00597 | test=0.00643 | cos=0.7879 | best=0.00642 | R²=0.6215 | 4802s | 0.020ep/s
Epoch  97 | train=0.00597 | test=0.00643 | cos=0.7879 | best=0.00642 | R²=0.6215 | 4908s | 0.020ep/s
Epoch  98 | train=0.00597 | test=0.00643 | cos=0.7880 | best=0.00642 | R²=0.6215 | 5014s | 0.020ep/s
Epoch  99 | train=0.00596 | test=0.00643 | cos=0.7880 | best=0.00642 | R²=0.6215 | 5116s | 0.020ep/s

Done: 5116s | Best test: 0.00642 | Zero: 0.01697 | R²: 0.6215
